sandstorm_budget,initial_water,initial_food,robust_score,baseline_failure_rate,baseline_mean_penalized_value,baseline_p05,adverse_failure_rate,adverse_mean_penalized_value,adverse_p05
6,210,280,8166.0825,0.0,8722.42,7080.0,0.0,8166.0825,6920.0
5,210,200,8165.15,0.001,8629.97,7475.0,0.001,8185.15,7320.0
5,200,280,8162.58,0.0,8747.42,7105.0,0.001,8182.58,6945.0
4,240,190,8143.13,0.001,8604.995,7450.0,0.0,8163.13,7295.0
4,190,260,8140.512500000001,0.002,8855.02,7230.0,0.006,8260.5125,7010.0
5,220,200,8140.175,0.001,8604.995,7450.0,0.001,8160.175,7295.0
3,180,190,8130.137500000001,0.003,9163.6375,7605.0,0.019,8510.1375,7380.0
3,190,280,8126.8225,0.005,9135.51,7892.5,0.017,8466.8225,6970.0
5,190,200,8121.215,0.001,8620.865,7525.0,0.001,8141.215,7305.0
4,250,190,8118.13,0.001,8580.02,7425.0,0.0,8138.13,7270.0
6,210,210,8115.2,0.0,8588.91,7425.0,0.001,8135.2,7270.0
5,230,200,8115.2,0.001,8580.02,7425.0,0.001,8135.2,7270.0
4,260,190,8093.13,0.001,8555.045,7400.0,0.0,8113.13,7245.0
3,180,200,8092.9025,0.002,9171.4925,7555.0,0.019,8472.9025,7330.0
4,190,270,8090.8125,0.002,8805.12,7180.0,0.006,8210.8125,6960.0
6,220,210,8090.225,0.0,8563.91,7400.0,0.001,8110.225,7245.0
5,240,200,8090.225,0.001,8555.045,7400.0,0.001,8110.225,7245.0
7,220,220,8069.0275,0.0,8513.91,7350.0,0.0,8069.0275,7195.0
4,270,190,8068.13,0.001,8530.07,7375.0,0.0,8088.13,7220.0
6,230,210,8065.25,0.0,8538.91,7375.0,0.001,8085.25,7220.0
5,250,200,8065.25,0.001,8530.07,7375.0,0.001,8085.25,7220.0
6,200,210,8046.29,0.0,8554.855,7450.0,0.001,8066.29,7230.0
7,230,220,8044.0275,0.0,8488.91,7325.0,0.0,8044.0275,7170.0
3,180,210,8043.852500000001,0.002,9122.43,7505.0,0.019,8423.8525,7280.0
5,190,210,8042.855,0.001,8582.8,7475.0,0.002,8082.855,7255.0
4,190,280,8041.1125,0.002,8755.22,7130.0,0.006,8161.1125,6910.0
6,240,210,8040.275,0.0,8513.91,7350.0,0.001,8060.275,7195.0
5,260,200,8040.275,0.001,8505.095,7350.0,0.001,8060.275,7195.0
7,240,220,8019.0275,0.0,8463.91,7300.0,0.0,8019.0275,7145.0
6,250,210,8015.3,0.0,8488.91,7325.0,0.001,8035.3,7170.0
7,210,220,8000.1425,0.0,8479.855,7375.0,0.0,8000.1425,7160.0
6,200,220,7998.865,0.0,8516.74,7400.0,0.001,8018.865,7180.0
3,180,220,7994.8025,0.002,9072.53,7455.0,0.019,8374.8025,7230.0
8,230,230,7994.0275,0.0,8438.91,7275.0,0.0,7994.0275,7120.0
7,250,220,7994.0275,0.0,8438.91,7275.0,0.0,7994.0275,7120.0
5,190,220,7992.955,0.001,8533.7675,7425.0,0.002,8032.955,7205.0
6,260,210,7990.325,0.0,8463.91,7300.0,0.001,8010.325,7145.0
5,190,190,7984.4825,0.0,8347.075,7510.0,0.0,7984.4825,7355.0
8,240,230,7969.0275,0.0,8413.91,7250.0,0.0,7969.0275,7095.0
5,200,190,7959.4825,0.0,8322.075,7485.0,0.0,7959.4825,7330.0
7,210,230,7952.6675,0.0,8441.74,7325.0,0.0,7952.6675,7110.0
6,200,230,7948.915,0.0,8467.6575,7350.0,0.001,7968.915,7130.0
4,180,190,7947.8375,0.001,8695.79,7600.0,0.01,8147.8375,7385.0
3,180,230,7945.7525000000005,0.002,9022.63,7405.0,0.019,8325.7525,7180.0
5,190,230,7943.055,0.001,8483.8175,7375.0,0.002,7983.055,7155.0
6,190,200,7936.1825,0.0,8297.075,7460.0,0.0,7936.1825,7305.0
5,210,190,7934.4825,0.0,8297.075,7460.0,0.0,7934.4825,7305.0
8,220,230,7925.1425,0.0,8404.855,7300.0,0.0,7925.1425,7085.0
9,240,240,7919.0275,0.0,8363.91,7200.0,0.0,7919.0275,7045.0
6,200,200,7911.1825,0.0,8272.075,7435.0,0.0,7911.1825,7280.0
5,220,190,7909.4825,0.0,8272.075,7435.0,0.0,7909.4825,7280.0
7,210,240,7902.6675,0.0,8392.6575,7275.0,0.0,7902.6675,7060.0
4,180,200,7900.025,0.001,8657.725,7550.0,0.01,8100.025,7335.0
6,200,240,7898.965,0.0,8417.6575,7300.0,0.001,7918.965,7080.0
3,180,240,7896.702499999999,0.002,8972.73,7355.0,0.019,8276.7025,7130.0
5,190,240,7893.155,0.001,8433.8675,7325.0,0.002,7933.155,7105.0
6,190,210,7886.985,0.0,8257.69,7410.0,0.0,7886.985,7255.0
6,210,200,7886.1825,0.0,8247.075,7410.0,0.0,7886.1825,7255.0
5,230,190,7884.4825,0.0,8247.075,7410.0,0.0,7884.4825,7255.0
8,220,240,7877.6675,0.0,8366.74,7250.0,0.0,7877.6675,7035.0
7,200,210,7861.1825,0.0,8222.075,7385.0,0.0,7861.1825,7230.0
6,220,200,7861.1825,0.0,8222.075,7385.0,0.0,7861.1825,7230.0
5,240,190,7859.4825,0.0,8222.075,7385.0,0.0,7859.4825,7230.0
7,210,250,7852.6675,0.0,8342.6575,7225.0,0.0,7852.6675,7010.0
4,180,210,7850.525,0.001,8608.6925,7500.0,0.01,8050.525,7285.0
9,230,240,7850.1425,0.0,8329.855,7225.0,0.0,7850.1425,7010.0
6,200,250,7849.015,0.0,8367.6575,7250.0,0.001,7869.015,7030.0
3,180,250,7847.6525,0.002,8922.83,7305.0,0.019,8227.6525,7080.0
5,190,250,7843.255,0.001,8383.9175,7275.0,0.002,7883.255,7055.0
6,190,220,7836.985,0.0,8207.69,7360.0,0.0,7836.985,7205.0
